Date,Temp,Hum,Light,Is_Raining,Will_Rain
2023-04-11 06:10,26100,79500,1731,NO,NO
2023-04-11 06:12,26300,78500,1725,NO,NO
2023-04-11 06:14,26300,78200,1708,NO,NO
2023-04-11 06:16,26200,77800,1696,NO,NO
2023-04-11 06:18,26000,78800,1659,NO,NO
2023-04-11 06:20,25900,78900,1657,NO,NO
2023-04-11 06:22,25900,79100,1622,NO,NO
2023-04-11 06:24,25900,79400,1611,NO,NO
2023-04-11 06:26,25900,79600,1627,NO,NO
2023-04-11 06:28,25900,79300,1646,NO,NO
2023-04-11 06:30,25900,79600,1648,NO,NO
2023-04-11 06:32,25800,79300,1647,NO,NO
2023-04-11 06:34,25800,79700,1644,NO,NO
2023-04-11 06:36,25800,79700,1627,NO,NO
2023-04-11 06:38,25900,80400,1619,NO,NO
2023-04-11 06:40,25900,80600,1616,NO,NO
2023-04-11 06:42,25900,80600,1601,NO,NO
2023-04-11 06:44,26000,80500,1600,NO,NO
2023-04-11 06:46,26000,81100,1623,NO,NO
2023-04-11 06:48,26100,81600,1654,NO,NO
2023-04-11 06:50,26000,81300,1636,NO,NO
